date,eu_q2,eu_q3,eu_q4,eu_q5,eu_q6,eu_q7,eu_q8,eu_q9,eu_q10,eu_q11,eu_q12,ue_q2,ue_q3,ue_q4,ue_q5,ue_q6,ue_q7,ue_q8,ue_q9,ue_q10,ue_q11,ue_q12,en_q2,en_q3,en_q4,en_q5,en_q6,en_q7,en_q8,en_q9,en_q10,en_q11,en_q12,ne_q2,ne_q3,ne_q4,ne_q5,ne_q6,ne_q7,ne_q8,ne_q9,ne_q10,ne_q11,ne_q12,factor_q2,factor_q3,factor_q4,factor_q5,factor_q6,factor_q7,factor_q8,factor_q9,factor_q10,factor_q11,factor_q12
1967250, 0.014075945162, 0.012201004206, 0.011461531213, 0.011211862379, 0.010703198178, 0.011351722970, 0.010826905355, 0.010423432530, 0.009290872976, 0.010039890254, 0.010242958424, 0.282171943359, 0.319356555445, 0.321801148269, 0.328307790057, 0.338949100144, 0.331740245537, 0.338612227395, 0.348044913540, 0.364514833512, 0.344724035335, 0.349640188284, 0.037433668315, 0.038393945114, 0.038470308243, 0.038964683083, 0.039505854084, 0.039056167740, 0.039524807973, 0.039662956525, 0.040168846280, 0.040114657430, 0.040378630280, 0.046609891992, 0.049470309568, 0.048236911340, 0.048964605537, 0.049075883099, 0.047908713909, 0.048682801459, 0.049023350173, 0.049912968344, 0.048570525830, 0.048750941458, 1.572931820508, 1.278985410866, 1.320128518933, 1.326743553348, 1.374750201989, 1.476164791527, 1.435003446401, 1.386472490034, 1.269730784830, 1.471765255004, 1.544562210288
1967500, 0.014076952561, 0.012206390617, 0.011469987512, 0.011221937876, 0.010718022936, 0.011358308379, 0.010842196744, 0.010447191684, 0.009343964828, 0.010069519794, 0.010265021695, 0.282172078772, 0.319269844473, 0.321704288683, 0.328168732403, 0.338710687444, 0.331593419563, 0.338351404998, 0.347586125462, 0.363629483158, 0.344458614441, 0.349191592772, 0.037429483945, 0.038387517973, 0.038463564084, 0.038954732713, 0.039490850947, 0.039046877757, 0.039507743914, 0.039642993114, 0.040135780591, 0.040083289159, 0.040337426447, 0.046610412692, 0.049464149630, 0.048235871798, 0.048958846619, 0.049069085212, 0.047916744620, 0.048677991156, 0.049011392705, 0.049877970233, 0.048577578559, 0.048751271946, 1.572120661996, 1.278860777814, 1.319833082171, 1.326405215550, 1.373963639047, 1.474089781156, 1.433611244311, 1.386098816885, 1.272380660524, 1.468086577447, 1.538171136542
1967750, 0.014078966200, 0.012217152051, 0.011486875977, 0.011242054236, 0.010747593475, 0.011371504901, 0.010872660804, 0.010494413561, 0.009449092398, 0.010128457677, 0.010309108958, 0.282172344021, 0.319096619788, 0.321510808901, 0.327891130154, 0.338235302756, 0.331300044739, 0.337831928367, 0.346674872214, 0.361876153097, 0.343925724553, 0.348299178687, 0.037421118635, 0.038374672359, 0.038450085750, 0.038934862752, 0.039460922626, 0.039028303161, 0.039473750126, 0.039603261473, 0.040070183734, 0.040021033969, 0.040255866604, 0.046611453495, 0.049451844761, 0.048233786463, 0.048947353139, 0.049055523495, 0.047932651705, 0.048668429228, 0.048987686448, 0.049808779429, 0.048591172227, 0.048751671601, 1.570498973776, 1.278610537102, 1.319241943124, 1.325728552659, 1.372394710826, 1.469960327486, 1.430836080383, 1.385339334767, 1.277589967765, 1.460837014586, 1.525597844502
1968000, 0.014081983757, 0.012233265757, 0.011512148422, 0.011272142339, 0.010791752403, 0.011391363171, 0.010918061728, 0.010564510651, 0.009604168451, 0.010216063519, 0.010375133158, 0.282172727963, 0.318837275437, 0.321221187059, 0.327476007014, 0.337525816424, 0.330860679020, 0.337058106163, 0.345323684753, 0.359289183633, 0.343121476752, 0.346972452891, 0.037408579242, 0.038355425593, 0.038429893189, 0.038905134598, 0.039416224434, 0.039000455017, 0.039423093459, 0.039544148871, 0.039973112875, 0.039928844350, 0.040135622527, 0.046613013211, 0.049433424938, 0.048230642887, 0.048930173664, 0.049035265827, 0.047956128648, 0.048654231654, 0.048952644228, 0.049706986787, 0.048610304537, 0.048751629733, 1.568068012859, 1.278232742661, 1.318354570946, 1.324713588485, 1.370051771977, 1.463817316013, 1.426696374370, 1.384170159913, 1.285180234278, 1.450228357366, 1.507252485917
1968250, 0.014086001756, 0.012254697671, 0.011545732760, 0.011312098867, 0.010850265028, 0.011417957230, 0.010978049840, 0.010656614977, 0.009806124098, 0.010331381877, 0.010462942981, 0.282173213896, 0.318492401329, 0.320836138761, 0.326924892510, 0.336586506366, 0.330276168506, 0.336036332647, 0.343551074620, 0.355919092412, 0.342040546485, 0.345225558230, 0.037391876043, 0.038329803618, 0.038403016270, 0.038865639964, 0.039356987853, 0.038963350733, 0.039356169678, 0.039466228542, 0.039846124347, 0.039808123734, 0.039979142951, 0.046615090052, 0.049408935039, 0.048226422529, 0.048907380682, 0.049008413433, 0.047986721038, 0.048635568989, 0.048906874073, 0.049574929133, 0.048633524450, 0.048750409726, 1.564829663268, 1.277724483249, 1.317170169883, 1.323360354758, 1.366947253171, 1.455721456397, 1.421219603937, 1.382556426854, 1.294889729663, 1.436568940773, 1.483731663315
1968500, 0.014091015567, 0.012281402493, 0.011587533241, 0.011361786743, 0.010922821019, 0.011451382265, 0.011052166367, 0.010769593737, 0.010050981446, 0.010473148695, 0.010572299329, 0.282173779590, 0.318062781835, 0.320356615161, 0.326239814798, 0.335423025215, 0.329547658191, 0.334775006384, 0.341381198339, 0.351831409878, 0.340676758231, 0.343077132847, 0.037371022725, 0.038297840950, 0.038369494719, 0.038816500406, 0.039283518765, 0.038917015005, 0.039273498146, 0.039370250633, 0.039691239137, 0.039660696774, 0.039789584897, 0.046617681640, 0.049378434733, 0.048221100910, 0.048879070163, 0.048975100187, 0.048023832927, 0.048612662356, 0.048851166016, 0.049415631302, 0.048658992865, 0.048747083105, 1.560786434249, 1.277081891861, 1.315687679900, 1.321668886387, 1.363097540594, 1.445752548582, 1.414442122057, 1.380453414220, 1.306380466881, 1.420252788516, 1.455796833906
1968750, 0.014097019411, 0.012313323783, 0.011637430756, 0.011421035706, 0.011009036602, 0.011491751652, 0.011139849671, 0.010902069682, 0.010333947660, 0.010639800358, 0.010702846195, 0.282174397306, 0.317549393937, 0.319783800413, 0.325423291132, 0.334042356948, 0.328676605854, 0.333284423813, 0.338843420271, 0.347105170567, 0.339023822916, 0.340550123051, 0.037346036372, 0.038259580621, 0.038329378040, 0.038757866716, 0.039196195121, 0.038861481061, 0.039175714848, 0.039257130395, 0.039510898164, 0.039488770763, 0.039570725454, 0.046620785007, 0.049341998338, 0.048214647820, 0.048845360990, 0.048935491681, 0.048066735173, 0.048585778236, 0.048786474948, 0.049232731104, 0.048684559952, 0.048740572936, 1.555941457887, 1.276300158233, 1.313905777535, 1.319639215214, 1.358522817034, 1.434008518227, 1.406408913163, 1.377808002419, 1.319247255359, 1.401745736540, 1.424346742614
1969000, 0.014104006368, 0.012350394090, 0.011695283227, 0.011489643030, 0.011108457270, 0.011539193347, 0.011240442837, 0.011052445826, 0.010649528136, 0.010829485715, 0.010854077682, 0.282175033841, 0.316953404914, 0.319119108504, 0.324478316044, 0.332452763364, 0.327664798748, 0.331576649315, 0.335971782498, 0.341831096559, 0.337076194058, 0.337671550154, 0.037316937450, 0.038215074097, 0.038282725406, 0.038689918157, 0.039095464054, 0.038796792153, 0.039063563894, 0.039127933817, 0.039307908399, 0.039294889080, 0.039326856728, 0.046624396597, 0.049299714647, 0.048207027576, 0.048806394248, 0.048889784079, 0.048114575660, 0.048555222170, 0.048713899871, 0.049030389099, 0.048707856212, 0.048729704911, 1.550298486129, 1.275373544422, 1.311822876999, 1.317271362327, 1.353246866046, 1.420604233168, 1.397173287831, 1.374560427246, 1.333028573053, 1.381569020939, 1.390384879912
1969250, 0.014111968383, 0.012392535098, 0.011760926061, 0.011567374372, 0.011220560985, 0.011593845694, 0.011353202502, 0.011218934000, 0.010991655997, 0.011040081443, 0.011025303251, 0.282175650563, 0.316276169580, 0.318364179467, 0.323408347311, 0.330663720868, 0.326514372643, 0.329665363771, 0.332804392136, 0.336109516806, 0.334830002621, 0.334472231860, 0.037283749783, 0.038164381189, 0.038229605535, 0.038612861560, 0.038981838476, 0.038723003288, 0.038937887618, 0.038983860973, 0.039085381120, 0.039081877704, 0.039062667202, 0.046628512272, 0.049251686711, 0.048198199329, 0.048762332378, 0.048838202761, 0.048166391264, 0.048521331521, 0.048634660010, 0.048813185405, 0.048726393845, 0.048713264181, 1.543861887225, 1.274295403406, 1.309437131540, 1.314565328998, 1.347296841031, 1.405670115291, 1.386796515802, 1.370646286027, 1.347218977910, 1.360280905383, 1.354983140573
1969500, 0.014120896274, 0.012439657798, 0.011834172682, 0.011653964759, 0.011344761848, 0.011655852698, 0.011477308754, 0.011399586680, 0.011353834745, 0.011269211174, 0.011215613454, 0.282176203466, 0.315519227086, 0.317520874993, 0.322217289776, 0.328685848103, 0.325227832719, 0.327565693938, 0.329382738065, 0.330048072351, 0.332284026146, 0.330986458976, 0.037246500533, 0.038107569943, 0.038170096551, 0.038526930288, 0.038855893185, 0.038640183147, 0.038799615440, 0.038826227374, 0.038846663769, 0.038852785997, 0.038783113123, 0.046633127315, 0.049198031598, 0.048188117408, 0.048713358215, 0.048781000770, 0.048221121395, 0.048484467442, 0.048550068272, 0.048586006120, 0.048737674557, 0.048690055738, 1.536636641578, 1.273058200659, 1.306746435092, 1.311521086352, 1.340703001390, 1.389350564689, 1.375347397268, 1.365998746425, 1.361282739357, 1.338456992952, 1.319242997740
