1,-.0052229,-.0013654
2,-.0135454,-.0022183
4,-.0073671,-.0018484
5,-.0089998,-.000528
6,-.0014377,-.0020617
8,-.0049653,-.0020997
9,.0066038,-.0026451
10,.0034284,-.0020634
11,.0026165,.000537
12,-.0063981,-.0015344
13,-.0019459,-.0011313
15,.0017701,-.0018665
16,-.01016,-.001248
17,-.0007974,-.0015589
18,-.0037025,-.0020746
19,-.0073125,-.0014654
20,-.0056144,-.0016657
21,-.00312,-.0016124
22,-.0000455,-.0012221
23,-.0039789,-.002278
24,.0096078,-.0018454
25,-.0018102,-.0023052
26,-.0022672,-.002064
27,-.0027654,-.0020476
28,-.0027239,-.0011105
29,-.0053184,-.0016492
30,-.0105008,-.0015669
31,-.0076505,-.0014698
32,-.0061416,-.0025999
33,-.0028783,-.002819
34,.0051225,-.0017785
35,-.0060462,-.0012415
36,.0063502,-.0010288
37,-.00231,-.0014707
38,-.0070286,.0000384
39,-.0011236,-.0018218
40,-.0046993,-.0008903
41,-.0100197,-.0020624
42,.0014198,-.0013947
44,.0023933,-.0023064
45,-.0015452,-.0024578
46,-.0106066,-.0010085
47,-.0051971,-.0013084
48,-.002859,-.0014719
49,-.0018148,1.70e-07
50,-.0025532,-.0026526
51,-.0026719,-.0018567
53,-.0097355,-.0015824
54,-.0055853,-.0013931
55,-.0017734,-.0019103
56,-.0111937,-.0025871
