Year,Reference month,Census Division,Ratio
2006,March,Mountain,4.6
2006,March,Pacific,5.2
2007,March,New England,5.4
2007,March,Middle Atlantic,4.9
2007,March,East North Central,5.2
2007,March,West North Central,4.7
2007,March,South Atlantic,5
2007,March,East South Central,3.4
2007,March,West South Central,5.8
2007,March,Mountain,4.3
2007,March,Pacific,5.3
2008,March,New England,5.2
2008,March,Middle Atlantic,4.9
2008,March,East North Central,5.1
2008,March,West North Central,4.6
2008,March,South Atlantic,5
2008,March,East South Central,3.3
2008,March,West South Central,5.7
2008,March,Mountain,4.3
2008,March,Pacific,5.3
2009,March,New England,5
2009,March,Middle Atlantic,5
2009,March,East North Central,4.7
2009,March,West North Central,4.9
2009,March,South Atlantic,5
2009,March,East South Central,3.7
2009,March,West South Central,6.1
2009,March,Mountain,4.8
2009,March,Pacific,5.4
2010,March,New England,5.2
2010,March,Middle Atlantic,5.2
2010,March,East North Central,4.7
2010,March,West North Central,4.6
2010,March,South Atlantic,4.9
2010,March,East South Central,4
2010,March,West South Central,5.5
2010,March,Mountain,4.8
2010,March,Pacific,5.4
2011,March,New England,5.3
2011,March,Middle Atlantic,5.7
2011,March,East North Central,4.9
2011,March,West North Central,5
2011,March,South Atlantic,5
2011,March,East South Central,4.2
2011,March,West South Central,5.4
2011,March,Mountain,4.8
2011,March,Pacific,5.6
2012,March,New England,5.1
2012,March,Middle Atlantic,6.1
2012,March,East North Central,4.5
2012,March,West North Central,5
2012,March,South Atlantic,5.2
2012,March,East South Central,4.8
2012,March,West South Central,5.4
2012,March,Mountain,5.1
2012,March,Pacific,5.5
2013,March,New England,5.9
2013,March,Middle Atlantic,6.2
2013,March,East North Central,4.7
2013,March,West North Central,5
2013,March,South Atlantic,5.4
2013,March,East South Central,4.6
2013,March,West South Central,5
2013,March,Mountain,4.9
2013,March,Pacific,5.5
2014,March,New England,5.7
2014,March,Middle Atlantic,6.1
2014,March,East North Central,4.8
2014,March,West North Central,5.2
2014,March,South Atlantic,5.4
2014,March,East South Central,4.6
2014,March,West South Central,5.1
2014,March,Mountain,5.6
2014,March,Pacific,5.7
2015,March,New England,6
2015,March,Middle Atlantic,6
2015,March,East North Central,5
2015,March,West North Central,4.9
2015,March,South Atlantic,5.7
2015,March,East South Central,4.4
2015,March,West South Central,5.8
2015,March,Mountain,4.9
2015,March,Pacific,6
